sample, p__Asgardarchaeota, p__Euryarchaeota, p__Fibrobacterota, p__SAR324_clade(Marine_group_B), p__Desulfobacterota, p__Dependentiae, p__Halobacterota, p__Armatimonadota, p__Latescibacterota, p__Planctomycetota, p__Bdellovibrionota, p__Gemmatimonadota,Unassigned_unassigned, p__Acidobacteriota, p__Chloroflexi,d__Archaea_unassigned, p__Spirochaetota, p__Fusobacteriota, p__Verrucomicrobiota, p__Elusimicrobiota, p__Actinobacteriota, p__Bacteroidota, p__Entotheonellaeota, p__Cyanobacteria, p__Campilobacterota,d__Eukaryota_unassigned, p__WPS-2, p__Synergistota, p__Aenigmarchaeota, p__Nitrospirota, p__Halanaerobiaeota, p__Proteobacteria, p__Methylomirabilota, p__GAL15,d__Bacteria_unassigned, p__Abditibacteriota, p__Sumerlaeota, p__MBNT15, p__Deinococcota, p__Patescibacteria, p__Firmicutes, p__Myxococcota, p__Thermoplasmatota, p__NB1-j, p__Deferribacterota
CORE0179.V1.nonCOVID.NP.PS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,426,0,199,0,0,0,0,0,0,0,5177,0,0,0,0,0,0,166,0,1263,0,0,0,0
CORE0179.V1.nonCOVID.OP.PS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,25,0,0,72,0,0,0,0,0,0,0,224129,0,0,0,0,0,0,0,0,29,0,0,0,0
CORE0179.V2.nonCOVID.NP.PS,0,0,0,0,0,0,0,0,0,0,0,48,0,37,0,0,0,0,0,0,923,100,0,52,0,0,0,0,0,0,0,33359,0,0,0,0,0,0,0,0,493,0,0,0,0
CORE0179.V2.nonCOVID.OP.PS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,69,0,0,0,0,0,0,0,0,0,209372,0,0,12,0,0,0,0,0,318,0,0,0,0
CORE0180.V1.nonCOVID.NP.PS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,6,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,203269,0,0,0,0
CORE0180.V1.nonCOVID.OP.PS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,141342,0,0,0,0
CORE0180.V2.nonCOVID.ETA.PRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CORE0180.V2.nonCOVID.NP.PS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,204381,0,0,0,0
CORE0180.V2.nonCOVID.OP.PS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,0,11,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,123189,0,0,0,0
CORE0180.V3.nonCOVID.NP.PS,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,1045,0,0,0,0,0,0,0,0,161335,0,0,0,0
